Sp_acronym;S0700;S0850;S1050;S1200;S1400;S1450;S1650;S1850;S1900;S1950;S2150;S2350;S2400
Tetr_cele;0;0;0;1;0;0;0;0;0;0;0;0;0
Meli_pinn;0;0;0;0;0;0;0;0;0;1;0;0;0
Meli_suma;1;0;1;1;0;0;0;0;0;0;0;0;0
Flac_ruka;0;0;0;1;0;0;0;0;0;0;0;0;0
Acer_laur;0;0;0;1;3;1;0;0;0;0;0;0;0
Aryt_litt;0;0;0;1;0;0;0;0;0;0;0;0;0
Guio_dipl;0;0;0;0;0;0;0;0;0;19;1;0;0
Guio_hirs;0;1;1;0;0;0;0;0;0;0;0;0;0
Harp_cupa;0;0;0;3;0;0;0;0;0;0;0;0;0
Pome_pinn;4;0;0;0;0;0;0;0;0;0;0;0;0
Pala_obov;7;2;4;7;0;0;0;0;0;0;0;0;0
Plan_char;2;1;0;0;0;0;0;0;0;0;0;0;0
Plei_firm;0;0;8;2;6;6;7;0;0;2;0;0;0
Sarc_pani;2;0;0;0;0;0;0;0;0;0;0;0;0
Aila_inte;1;0;0;0;0;1;0;0;0;0;0;0;0
Turp_spha;1;0;0;0;0;0;1;0;0;0;0;0;0
Gomp_mapp;0;0;1;0;0;0;1;0;0;0;0;0;0
Medu_laxi;4;0;0;0;0;0;0;0;0;0;0;0;0
Brui_styr;0;0;0;0;0;0;0;5;0;0;0;0;0
Symp_cfco;0;0;0;0;0;0;0;0;0;0;0;0;1
Symp_coch;0;0;0;0;0;0;0;0;0;0;0;2;5
Symp_fasc;0;0;0;0;0;0;0;3;1;0;0;0;0
Symp_odor;0;0;0;0;0;0;2;1;0;0;0;0;0
Symp_ophi;0;0;0;0;0;0;0;1;1;2;0;0;0
Poly_ambo;0;0;0;1;0;0;0;0;15;4;0;0;10
Trim_papu;0;0;0;0;0;0;0;0;0;0;45;14;7
Tasm_pipe;0;0;0;0;0;0;0;0;0;0;8;0;0
