"","hhid","species_name","abundance","regency","village","plotID","crop"
"103",39,"Davallia denticulata","11","Sarolangun","Batu Putih",1,"Rubber"
"104",39,"Lindsaea ensifolia","11","Sarolangun","Batu Putih",1,"Rubber"
"105",39,"LN: Laos- Laosan","1","Sarolangun","Batu Putih",1,"Rubber"
"106",39,"Mangifera indica","15","Sarolangun","Batu Putih",1,"Rubber"
"107",39,"Mimosa ","2","Sarolangun","Batu Putih",1,"Rubber"
"108",39,"Phylanthus urinaria","5","Sarolangun","Batu Putih",1,"Rubber"
"109",39,"similar to daun katu","23","Sarolangun","Batu Putih",1,"Rubber"
"110",39,"polygala","21","Sarolangun","Batu Putih",1,"Rubber"
"111",39,"Ageratum conyzoides","56","Sarolangun","Batu Putih",1,"Rubber"
"112",39,"polygala","12","Sarolangun","Batu Putih",1,"Rubber"
"113",39,"leptaspis","342","Sarolangun","Batu Putih",1,"Rubber"
"114",39,"similar to daun katu","23","Sarolangun","Batu Putih",1,"Rubber"
"115",39,"polygala","21","Sarolangun","Batu Putih",1,"Rubber"
"116",39,"cyrtococcum patens","560","Sarolangun","Batu Putih",1,"Rubber"
"117",39,"Daun Jarak","17","Sarolangun","Batu Putih",1,"Rubber"
"118",39,"Scleria ciliaris","52","Sarolangun","Batu Putih",1,"Rubber"
"119",39,"Stachytarpheta indica","120","Sarolangun","Batu Putih",1,"Rubber"
"120",40,"Asystasia gangetica","81","Sarolangun","Batu Putih",1,"Palm Oil"
"121",40,"Leptapis Urceolata","20","Sarolangun","Batu Putih",1,"Palm Oil"
"122",40,"Cyrtococcum Patens","12","Sarolangun","Batu Putih",1,"Palm Oil"
"123",40,"Clidemia hirta","26","Sarolangun","Batu Putih",1,"Palm Oil"
"124",40,"Melastoma malabathricum","2","Sarolangun","Batu Putih",1,"Palm Oil"
"125",44,"Melastoma malabathricum","60","Sarolangun","Bukit Talang Mas",2,"Rubber"
"126",44,"Leptaspis Urceolata","81","Sarolangun","Bukit Talang Mas",2,"Rubber"
"127",44,"Cyrtococcum patens","1242","Sarolangun","Bukit Talang Mas",2,"Rubber"
"128",44,"Centotheca Lappacea","1052","Sarolangun","Bukit Talang Mas",2,"Rubber"
"129",44,"daun berbulu","2","Sarolangun","Bukit Talang Mas",2,"Rubber"
"130",44,"Lindsaea ensifolia","5","Sarolangun","Bukit Talang Mas",2,"Rubber"
"131",44,"Asystasia gangetica","352","Sarolangun","Bukit Talang Mas",2,"Rubber"
"132",44,"Clidemia hirta","130","Sarolangun","Bukit Talang Mas",2,"Rubber"
"133",46,"Clidemia hirta","3","Sarolangun","Bukit Murau",2,"Rubber"
"134",46,"Asystasia gangetica","69","Sarolangun","Bukit Murau",2,"Rubber"
"135",46,"Rhynchospora Colorata","23","Sarolangun","Bukit Murau",2,"Rubber"
"136",46,"Phylanthus urinaria","3","Sarolangun","Bukit Murau",2,"Rubber"
"137",46,"Rolandra fruticosa","5","Sarolangun","Bukit Murau",2,"Rubber"
"138",46,"Spermaococe cristata","4","Sarolangun","Bukit Murau",2,"Rubber"
"139",46,"Jamur Tanah","2","Sarolangun","Bukit Murau",2,"Rubber"
"140",46,"Mirip Waru","1","Sarolangun","Bukit Murau",2,"Rubber"
"141",47,"Blechnum orientale","7","Sarolangun","Bukit Murau",2,"Rubber"
"142",47,"Clidemia hirta","35","Sarolangun","Bukit Murau",2,"Rubber"
"143",47,"LN: Pulai","2","Sarolangun","Bukit Murau",2,"Rubber"
"144",47,"Lygodium salicifolium","4","Sarolangun","Bukit Murau",2,"Rubber"
"145",47,"Imperata cylindrica","43","Sarolangun","Bukit Murau",2,"Rubber"
"146",47,"Lindsaea ensifolia","3","Sarolangun","Bukit Murau",2,"Rubber"
"147",47,"Cyrtococcum Patens","103","Sarolangun","Bukit Murau",2,"Rubber"
"148",47,"Mangga","7","Sarolangun","Bukit Murau",2,"Rubber"
"149",47,"Mimosa pudica","8","Sarolangun","Bukit Murau",2,"Rubber"
"150",47,"Ubi Kayu","6","Sarolangun","Bukit Murau",2,"Rubber"
"151",47,"Asystasia gangetica","243","Sarolangun","Bukit Murau",2,"Rubber"
"152",47,"Jambu bol","1","Sarolangun","Bukit Murau",2,"Rubber"
"153",47,"Calopogonium Mucunoides","1","Sarolangun","Bukit Murau",2,"Rubber"
"154",47,"Scoparia Dulcis","2","Sarolangun","Bukit Murau",2,"Rubber"
"155",54,"Ageratum conyzoides","15","Sarolangun","Bukit talang mas",1,"Rubber"
"156",54,"Asystasia gangetica","51","Sarolangun","Bukit talang mas",1,"Rubber"
"157",54,"Mimosa pudica","7","Sarolangun","Bukit talang mas",1,"Rubber"
"158",54,"Paspalum dilatatum","9","Sarolangun","Bukit talang mas",1,"Rubber"
"159",54,"Imperata silindrica","20","Sarolangun","Bukit talang mas",1,"Rubber"
"160",54,"Melastoma malabathricum","36","Sarolangun","Bukit talang mas",1,"Rubber"
"161",54,"Polygala Paniculata","15","Sarolangun","Bukit talang mas",1,"Rubber"
"162",54,"Centotheca Lappacea","230","Sarolangun","Bukit talang mas",1,"Rubber"
"163",54,"Scleria ciliaris","12","Sarolangun","Bukit talang mas",1,"Rubber"
"164",54,"Daun Hati","655","Sarolangun","Bukit talang mas",1,"Rubber"
"165",56,"Lindsaea ensifolia","12","Sarolangun","Bukit Murau",1,"Rubber"
"166",56,"Melastoma malabathricum","6","Sarolangun","Bukit Murau",1,"Rubber"
"167",56,"Scleria ciliaris","8","Sarolangun","Bukit Murau",1,"Rubber"
"168",56,"Sauropus androgynus","6","Sarolangun","Bukit Murau",1,"Rubber"
"169",56,"Ophioglossum Pendulum","3","Sarolangun","Bukit Murau",1,"Rubber"
"170",56,"Leptapis Urceolata","32","Sarolangun","Bukit Murau",1,"Rubber"
"171",56,"Axonopus compressus","24","Sarolangun","Bukit Murau",1,"Rubber"
"172",56,"Clidemia hirta","564","Sarolangun","Bukit Murau",1,"Rubber"
"173",56,"Dicranopteris linearis","26","Sarolangun","Bukit Murau",1,"Rubber"
"174",60,"Asplenium nidus","1","Sarolangun","Bukit Talang Mas",2,"Rubber"
"175",60,"Davallia denticulata","5","Sarolangun","Bukit Talang Mas",2,"Rubber"
"176",60,"Asystasia gangetica","1230","Sarolangun","Bukit Talang Mas",2,"Rubber"
"177",60,"Axonopus compressus","2300","Sarolangun","Bukit Talang Mas",2,"Rubber"
"178",60,"Clidemia hirta","200","Sarolangun","Bukit Talang Mas",2,"Rubber"
"179",60,"Daun Hati","500","Sarolangun","Bukit Talang Mas",2,"Rubber"
"180",60,"Scleria ciliaris","12","Sarolangun","Bukit Talang Mas",2,"Rubber"
"181",60,"Leptaspis Urceolata","120","Sarolangun","Bukit Talang Mas",2,"Rubber"
"182",63,"Asystasia gangetica","63","Sarolangun","Bukit Murau",1,"Rubber"
"183",63,"Ageratum conyzoides","25","Sarolangun","Bukit Murau",1,"Rubber"
"184",63,"Lygodium circinatum","3","Sarolangun","Bukit Murau",1,"Rubber"
"185",63,"Axonopus compressus","78","Sarolangun","Bukit Murau",1,"Rubber"
"186",63,"Clidemia hirta","56","Sarolangun","Bukit Murau",1,"Rubber"
"187",63,"Ludwigia octovalvis","4","Sarolangun","Bukit Murau",1,"Rubber"
"188",63,"Phylanthus urinaria","8","Sarolangun","Bukit Murau",1,"Rubber"
"189",63,"Melastoma malabathricum","15","Sarolangun","Bukit Murau",1,"Rubber"
"190",63,"Mimosa pudica","15","Sarolangun","Bukit Murau",1,"Rubber"
"191",63,"Mussaenda frondosa","9","Sarolangun","Bukit Murau",1,"Rubber"
"192",63,"Cleome Rutidosperma","34","Sarolangun","Bukit Murau",1,"Rubber"
"193",63,"Calopogonium Mucunoides","8","Sarolangun","Bukit Murau",1,"Rubber"
"194",63,"Endospermum Diadenum","4","Sarolangun","Bukit Murau",1,"Rubber"
"195",63,"Leptaspis Urceolata","24","Sarolangun","Bukit Murau",1,"Rubber"
"196",63,"Cyrtococcum Patens","89","Sarolangun","Bukit Murau",1,"Rubber"
"197",63,"Paspalum Dilatatum","14","Sarolangun","Bukit Murau",1,"Rubber"
"198",63,"Gerombola hijau","13","Sarolangun","Bukit Murau",1,"Rubber"
"199",63,"Polygala Paiculata","6","Sarolangun","Bukit Murau",1,"Rubber"
"200",70,"Asystasia gangetica","181","Sarolangun","Payo Lebar",1,"Rubber"
"201",70,"Molineria latifolia","1","Sarolangun","Payo Lebar",1,"Rubber"
"202",70,"Scleria ciliaris","57","Sarolangun","Payo Lebar",1,"Rubber"
"203",70,"endospermum diadenum","1","Sarolangun","Payo Lebar",1,"Rubber"
"204",70,"leptspis urceolata","20","Sarolangun","Payo Lebar",1,"Rubber"
"205",70,"cyrtococcum patens","425","Sarolangun","Payo Lebar",1,"Rubber"
"206",71,"Melastoma affine","2","Sarolangun","Payo Lebar",1,"Palm Oil"
"207",71,"MS: Rumput gajah","260","Sarolangun","Payo Lebar",1,"Palm Oil"
"208",71,"Rolandra fruticosa","26","Sarolangun","Payo Lebar",1,"Palm Oil"
"209",71,"Legazpia polygonoides","2520","Sarolangun","Payo Lebar",1,"Palm Oil"
"210",71,"Vittaria ensiformis","50","Sarolangun","Payo Lebar",1,"Palm Oil"
"211",71,"salomonia cantoiniensis","18","Sarolangun","Payo Lebar",1,"Palm Oil"
"212",71,"tumbuhan paku","33","Sarolangun","Payo Lebar",1,"Palm Oil"
"213",71,"Scleria ciliaris","5","Sarolangun","Payo Lebar",1,"Palm Oil"
"214",71,"lumut","3520","Sarolangun","Payo Lebar",1,"Palm Oil"
"215",71,"Clidemia hirta","5","Sarolangun","Payo Lebar",1,"Palm Oil"
"216",71,"carex rupestris","92","Sarolangun","Payo Lebar",1,"Palm Oil"
"217",71,"Asystasia gangetica","85","Sarolangun","Payo Lebar",1,"Palm Oil"
"218",74,"Dicranopteris linearis","2","Sarolangun","Payo Lebar",1,"Rubber"
"219",74,"Clidemia hirta","73","Sarolangun","Payo Lebar",1,"Rubber"
"220",74,"Melastoma malabathricum","32","Sarolangun","Payo Lebar",1,"Rubber"
"221",74,"Scleria ciliaris","12","Sarolangun","Payo Lebar",1,"Rubber"
"222",74,"cyrtococcum patens","105","Sarolangun","Payo Lebar",1,"Rubber"
"223",74,"centothecca lappacea","51","Sarolangun","Payo Lebar",1,"Rubber"
"224",74,"juncus bufonius","32","Sarolangun","Payo Lebar",1,"Rubber"
"225",74,"bunga berjarak","81","Sarolangun","Payo Lebar",1,"Rubber"
"226",74,"Legazpia polygonoides","217","Sarolangun","Payo Lebar",1,"Rubber"
"227",74,"Lindernia diffusa","15","Sarolangun","Payo Lebar",1,"Rubber"
"228",74,"Lindsaea ensifolia","15","Sarolangun","Payo Lebar",1,"Rubber"
"229",76,"Melastoma malabathricum","2","Sarolangun","Payo Lebar",1,"Rubber"
"230",76,"Asystasia gangetica","215","Sarolangun","Payo Lebar",1,"Rubber"
"231",76,"Clidemia hirta","15","Sarolangun","Payo Lebar",1,"Rubber"
"232",76,"Lygodium sp.","6","Sarolangun","Payo Lebar",1,"Rubber"
"233",76,"cyrtococcum patens","853","Sarolangun","Payo Lebar",1,"Rubber"
"234",76,"Daun Hati","3","Sarolangun","Payo Lebar",1,"Rubber"
"235",76,"Mirip Daun Durian","1","Sarolangun","Payo Lebar",1,"Rubber"
"236",76,"daun bergerigi","3","Sarolangun","Payo Lebar",1,"Rubber"
"237",76,"Daun Sirih","3","Sarolangun","Payo Lebar",1,"Rubber"
"238",76,"Phylanthus urinaria","3","Sarolangun","Payo Lebar",1,"Rubber"
"239",76,"endospermum","22","Sarolangun","Payo Lebar",1,"Rubber"
"240",80,"Batang Daun Bulu","1","Sarolangun","Payo Lebar",2,"Rubber"
"241",80,"Axonopus compressus","63","Sarolangun","Payo Lebar",2,"Rubber"
"242",80,"LN: Pulai","1","Sarolangun","Payo Lebar",2,"Rubber"
"243",80,"Melastoma malabathricum","13","Sarolangun","Payo Lebar",2,"Rubber"
"244",80,"Clidemia hirta","56","Sarolangun","Payo Lebar",2,"Rubber"
"245",80,"Goniophlebium verrucosum","6","Sarolangun","Payo Lebar",2,"Rubber"
"246",80,"Sauropus androgynus","3","Sarolangun","Payo Lebar",2,"Rubber"
"247",80,"Mirip Karet","1","Sarolangun","Payo Lebar",2,"Rubber"
"248",80,"Endospermum Diadenum","2","Sarolangun","Payo Lebar",2,"Rubber"
"249",80,"Colopogonium Mucunoides","4","Sarolangun","Payo Lebar",2,"Rubber"
"250",80,"Merremia Umbellata","2","Sarolangun","Payo Lebar",2,"Rubber"
"251",80,"Asystasia gangetica","143","Sarolangun","Payo Lebar",2,"Rubber"
"252",80,"Rolandra fruticosa","11","Sarolangun","Payo Lebar",2,"Rubber"
"253",80,"Scleria ciliaris","124","Sarolangun","Payo Lebar",2,"Rubber"
"254",80,"Cyrtococcum Patens","136","Sarolangun","Payo Lebar",2,"Rubber"
"255",83,"Ageratum conyzoides","14","Sarolangun","Payo Lebar",1,"Rubber"
"256",83,"LN: Pulai","1","Sarolangun","Payo Lebar",1,"Rubber"
"257",83,"Asystasia gangetica","78","Sarolangun","Payo Lebar",1,"Rubber"
"258",83,"Clidemia hirta","173","Sarolangun","Payo Lebar",1,"Rubber"
"259",83,"Lindsaea ensifolia","43","Sarolangun","Payo Lebar",1,"Rubber"
"260",83,"Mussaenda frondosa","2","Sarolangun","Payo Lebar",1,"Rubber"
"261",83,"Nephrolepis biserrata","4","Sarolangun","Payo Lebar",1,"Rubber"
"262",83,"Phylanthus urinaria","5","Sarolangun","Payo Lebar",1,"Rubber"
"263",83,"Scleria ciliaris","95","Sarolangun","Payo Lebar",1,"Rubber"
"264",83,"Leptaspis Urceolata","121","Sarolangun","Payo Lebar",1,"Rubber"
"265",83,"Vittaria Elongata","49","Sarolangun","Payo Lebar",1,"Rubber"
"266",83,"Cleome Rutidosperma","113","Sarolangun","Payo Lebar",1,"Rubber"
"267",83,"Sauropus androgynus","12","Sarolangun","Payo Lebar",1,"Rubber"
"268",83,"hevea brasiliensis","5","Sarolangun","Payo Lebar",1,"Rubber"
"269",83,"Awar awar","1","Sarolangun","Payo Lebar",1,"Rubber"
"270",83,"Lygodium circinatum","14","Sarolangun","Payo Lebar",1,"Rubber"
"271",83,"Melastoma malabathricum","64","Sarolangun","Payo Lebar",1,"Rubber"
"272",83,"Mikania micrantha","8","Sarolangun","Payo Lebar",1,"Rubber"
"273",83,"Passiflora Foetida","1","Sarolangun","Payo Lebar",1,"Rubber"
