"","hid","SpeciesName","Abundance","wave","additional"
"228",63,"Lygodium circinatum","3",2018,0
"229",63,"Calopogonium Mucunoides","8",2018,0
"230",63,"Endospermum diadenum","4",2018,0
"231",63,"Phylanthus urinaria","8",2018,0
"232",63,"Polygala paniculata","6",2018,0
"233",63,"Melastoma malabathricum","15",2018,0
"234",63,"Leptaspis urceolata","24",2018,0
"235",63,"Asystasia gangetica","63",2018,0
"236",63,"Cleome Rutidosperma","34",2018,0
"237",63,"Mimosa pudica","15",2018,0
"238",63,"Ageratum conyzoides","25",2018,0
"239",70,"Asystasia gangetica","181",2018,0
"240",70,"Scleria ciliaris","57",2018,0
"241",70,"Cyrtococcum patens","425",2018,0
"242",70,"leptspis urceolata","20",2018,0
"243",70,"Molinera latifolia","1",2018,0
"244",70,"Endospermum diadenum","1",2018,0
"245",71,"Salomonia cantoniensis","18",2018,0
"246",71,"Scleria ciliaris","5",2018,0
"247",71,"Vittaria ensiformis","50",2018,0
"248",71,"Clidemia hirta","5",2018,0
"249",71,"Melastoma affine","2",2018,0
"250",71,"MS: Rumput gajah","260",2018,0
"251",71,"Rolandra fruticosa","26",2018,0
"252",71,"tumbuhan paku","33",2018,0
"253",71,"carex rupestris","92",2018,0
"254",71,"lumut","3520",2018,0
"255",71,"Legazpia polygonoides","2520",2018,0
"256",71,"Asystasia gangetica","85",2018,0
"257",74,"Scleria ciliaris","12",2018,0
"258",74,"Clidemia hirta","73",2018,0
"259",74,"Legazpia polygonoides","217",2018,0
"260",74,"Melastoma malabathricum","32",2018,0
"261",74,"Dicranopteris linearis","2",2018,0
"262",74,"Lindernia diffusa","15",2018,0
"263",74,"Lindsaea ensifolia","15",2018,0
"264",74,"Cyrtococcum patens","105",2018,0
"265",74,"juncus bufonius","32",2018,0
"266",74,"bunga berjarak","81",2018,0
"267",74,"Centotheca lappacea","51",2018,0
"268",76,"Phylanthus urinaria","3",2018,0
"269",76,"Asystasia gangetica","215",2018,0
"270",76,"Clidemia hirta","15",2018,0
"271",76,"endospermum","22",2018,0
"272",76,"daun bergerigi","3",2018,0
"273",76,"Daun Sirih","3",2018,0
"274",76,"Mirip Daun Durian","1",2018,0
"275",76,"Cyrtococcum patens","853",2018,0
"276",76,"Daun Hati","3",2018,0
