"","hid","SpeciesName","Abundance","regency","village","pid","crop","wave"
"300",83,"Lindsaea ensifolia","43","Sarolangun","Payo Lebar",1,"Rubber",2018
"301",83,"LN: Pulai","1","Sarolangun","Payo Lebar",1,"Rubber",2018
"302",83,"Scleria ciliaris","95","Sarolangun","Payo Lebar",1,"Rubber",2018
"303",83,"Mikania micrantha","8","Sarolangun","Payo Lebar",1,"Rubber",2018
"304",83,"Mussaenda frondosa","2","Sarolangun","Payo Lebar",1,"Rubber",2018
"305",83,"Leptaspis urceolata","121","Sarolangun","Payo Lebar",1,"Rubber",2018
"306",83,"Lygodium circinatum","14","Sarolangun","Payo Lebar",1,"Rubber",2018
"307",83,"Hevea Brasiliensis","5","Sarolangun","Payo Lebar",1,"Rubber",2018
"308",83,"Awar awar","1","Sarolangun","Payo Lebar",1,"Rubber",2018
"309",83,"Passiflora Foetida","1","Sarolangun","Payo Lebar",1,"Rubber",2018
"310",83,"Sauropus androgynus","12","Sarolangun","Payo Lebar",1,"Rubber",2018
"311",83,"Vittaria elongata","49","Sarolangun","Payo Lebar",1,"Rubber",2018
"312",83,"Cleome Rutidosperma","113","Sarolangun","Payo Lebar",1,"Rubber",2018
